Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3
"Bleach","Action / Supernatural","Manga",366,"Fini","Studio Pierrot","2004-10-05",7.9,9.7,"Ep 366 (TYBW Ep 6): The Fire","Yamamoto en action (Arc Guerre Sanglante). Visuellement fou.",4.8,"Ep 70: Bount Arc (Filler)","Début de l'arc filler des Bounts, universellement détesté.","Arc Soul Society : Sauvetage de Rukia (Un classique).","Arc Arrancar : Introduction des Espada et du Hueco Mundo.","Arc Guerre Sanglante (2022) : Retour violent et magnifique."
"Parasite: La Maxime","Sci-Fi / Horror","Manga",24,"Fini","Madhouse","2014-10-09",8.3,9.3,"Ep 12: Coeur","Migi défend Shinichi, mort de Kana. Bascule psychologique.",7.6,"Ep 1: Métamorphose","Introduction un peu étrange, le design 'années 80' modernisé surprend.","Invasion silencieuse, Shinichi apprend à vivre avec Migi.","Conflit avec les parasites organisés et Reiko Tamura.","Bataille finale et réflexions écologiques sur l'humanité."
"Demon Slayer","Action / Historical","Manga",55,"En cours","Ufotable","2019-04-06",8.5,9.9,"Ep 19: Le Dieu du feu","Hinokami Kagura. L'épisode qui a cassé Internet.",7.1,"Ep 14: La maison aux blasons","Zenitsu et Inosuke sont bruyants, humour qui divise.","Formation de Tanjiro et sélection finale.","Rencontre avec Zenitsu/Inosuke et Montagne Natagumo.","Arc du Quartier des Plaisirs (S2) : Combat titanesque contre Daki/Gyutaro."
"Erased","Mystery / Supernatural","Manga",12,"Fini","A-1 Pictures","2016-01-08",8.3,9.4,"Ep 8: Spiral","Le suspense est à son comble, Satoru proche de la vérité.",6.8,"Ep 12: Treasure","Fin précipitée et différente du manga, décevante pour beaucoup.","Enquête dans le passé pour sauver Kayo Hinazuki.","Le tueur se rapproche, tension insoutenable.","Confrontation finale dans le présent (rythme accéléré)."
"Tokyo Ghoul","Horror / Action","Manga",48,"Fini","Studio Pierrot","2014-07-04",7.5,9.6,"Ep 12: Ghoul","Torture de Kaneki et cheveux blancs. 'Unravel' en fond.",5.2,"Ep 24: Root A Finale","Fin de la S2 (Root A) incompréhensible et hors-sujet vs Manga.","Découverte du monde des goules, horreur et faim.","Saison Root A : Scénario original qui s'éloigne du manga (décevant).","Tokyo Ghoul:re : Ellipse temporelle, trop de personnages, confus."
"Mushishi","Slice of Life / Supernatural","Manga",26,"Fini","Artland","2005-10-23",8.7,9.4,"Ep 12: One-Eyed Fish","Histoire poétique et mélancolique typique de la série.",8.0,"Ep 5: The Traveling Swamp","Pas de mauvais épisode, juste des histoires moins marquantes.","Voyage de Ginko, histoires épisodiques apaisantes.","Exploration de la nature invisible (Mushi) et de l'humain.","Pas de fil rouge fort, mais une ambiance unique et constante."
"JoJo's Bizarre Adventure","Action / Supernatural","Manga",26,"Fini","David Production","2012-10-06",8.0,9.1,"Ep 20: Caesar's Youth","Le combat et le sacrifice de Caesar. 'SHIZAAAA!'",6.9,"Ep 10: New York's JoJo","Début de la partie 2, transition de style surprenante.","Partie 1 (Phantom Blood) : Jonathan vs Dio, gothique et classique.","Partie 2 (Battle Tendency) : Joseph Joestar, tactique et humour.","Introduction des 'Stands' (Partie 3 - Stardust Crusaders)."
"Jujutsu Kaisen","Action / Supernatural","Manga",47,"En cours","MAPPA","2020-10-03",8.6,9.8,"Ep 41 (S2): Thunderclap","Sukuna détruit Shibuya. Animation apocalyptique.",7.5,"Ep 22: The Origin of Blind Obedience","Un peu de remplissage avant le final de la S1.","Introduction de Yuji et des fléaux, école d'exorcisme.","Tournoi inter-lycées et montée en puissance.","Arc de Shibuya (S2) : Tragédie, combats et pertes majeures."
"Neon Genesis Evangelion","Apocalyptic / Mecha / Psychological drama","Original",26,"Fini","Gainax / Tatsunoko Production","1995-10-04",,,,,,,,,,
"Violet Evergarden","Coming-of-age / Steampunk","Light Novel",13,"Fini","Kyoto Animation","2018-01-11",,,,,,,,,,
"Gurren Lagann","Adventure / Comedy drama / Mecha / Coming-of-age","Original",27,"Fini","Gainax","2007-04-01",,,,,,,,,,
"Cyberpunk: Edgerunners","Cyberpunk","Game",10,"Fini","Trigger","2022-09-13",,,,,,,,,,
"Great Pretender","Comedy / Crime / Heist","Original",23,"Fini","Wit Studio","2020-06-02",,,,,,,,,,
"Assassination Classroom","Action / Science fiction comedy","Manga",47,"Fini","Lerche","2015-01-09",,,,,,,,,,
"Death Parade","Psychological thriller","Original",12,"Fini","Madhouse","2015-01-09",,,,,,,,,,
"Toradora!","Romantic comedy / Slice of life","Light Novel",25,"Fini","J.C.Staff","2008-10-02",,,,,,,,,,
"Odd Taxi","Mystery","Original",13,"Fini","OLM Team Yoshioka / P.I.C.S.","2021-04-06",,,,,,,,,,
"Baccano!","Adventure / Mystery / Supernatural","Light Novel",16,"Fini","Brain's Base","2007-07-26",,,,,,,,,,
"Serial Experiments Lain","Cyberpunk / Psychological horror / Techno-horror","Original",13,"Fini","Triangle Staff","1998-07-06",,,,,,,,,,
"Akame ga Kill!","Action / Dark fantasy","Manga",24,"Fini","White Fox","2014-07-07",,,,,,,,,,
"No Game No Life","Fantasy / Science fiction / Isekai","Light Novel",12,"Fini","Madhouse","2014-04-09",,,,,,,,,,
"Bocchi the Rock!","Comedy / Music","Manga",12,"En cours","CloverWorks","2022-10-09","","","","","","","","","",""
"86: Eighty-Six","Mecha / Military science fiction","Light Novel",23,"Fini","A-1 Pictures","2021-04-11","","","","","","","","","",""
"Fate/Zero","Action / Dark fantasy / Tragedy","Light Novel",25,"Fini","ufotable","2011-10-01","","","","","","","","","",""
"A Place Further than the Universe","Adventure","Original",13,"Fini","Madhouse","2018-01-02","","","","","","","","","",""
"Nichijou","Slice of life / Surreal comedy","Manga",26,"Fini","Kyoto Animation","2011-04-03","","","","","","","","","",""
"Barakamon","Comedy / Slice of life","Manga",12,"Fini","Kinema Citrus","2014-07-06","","","","","","","","","",""
"Dororo (2019)","Action / Dark fantasy / Historical fantasy","Manga",24,"Fini","Tezuka Productions / MAPPA","2019-01-07","","","","","","","","","",""
"Keep Your Hands Off Eizouken!","Comedy / Slice of life","Manga",12,"Fini","Science Saru","2020-01-06","","","","","","","","","",""
"Ping Pong the Animation","Coming-of-age / Psychological drama / Sports","Manga",11,"Fini","Tatsunoko Production","2014-04-11","","","","","","","","","",""
"Devilman Crybaby","Action / Dark fantasy / Superhero","Manga",10,"Fini","Science Saru","2018-01-05","","","","","","","","","",""
"Baccano!","Adventure / Mystery / Supernatural","Light Novel",16,"Fini","Brain's Base","2007-07-26","","","","","","","","","",""
"HELLSING ULTIMATE","Action / Dark fantasy / Vampire","Manga",10,"Fini","Satelight / Madhouse / Graphinica","2006-02-10","","","","","","","","","",""
